Turma,Nota
Turma 1,79
Turma 1,73
Turma 1,80
Turma 1,88
Turma 1,72
Turma 1,72
Turma 1,89
Turma 1,81
Turma 1,70
Turma 1,79
Turma 1,70
Turma 1,70
Turma 1,77
Turma 1,57
Turma 1,59
Turma 1,69
Turma 1,65
Turma 1,77
Turma 1,66
Turma 1,62
Turma 1,88
Turma 1,72
Turma 1,75
Turma 1,62
Turma 1,70
Turma 1,75
Turma 1,64
Turma 1,78
Turma 1,69
Turma 1,72
Turma 1,69
Turma 1,91
Turma 1,74
Turma 1,65
Turma 1,82
Turma 1,64
Turma 1,76
Turma 1,57
Turma 1,63
Turma 1,76
Turma 1,81
Turma 1,76
Turma 1,73
Turma 1,72
Turma 1,61
Turma 1,68
Turma 1,70
Turma 1,84
Turma 1,78
Turma 1,59
Turma 1,77
Turma 1,71
Turma 1,68
Turma 1,80
Turma 1,84
Turma 1,83
Turma 1,67
Turma 1,72
Turma 1,77
Turma 1,83
Turma 1,70
Turma 1,73
Turma 1,65
Turma 1,64
Turma 1,82
Turma 1,87
Turma 1,74
Turma 1,84
Turma 1,78
Turma 1,69
Turma 1,78
Turma 1,88
Turma 1,74
Turma 1,89
Turma 1,51
Turma 1,82
Turma 1,75
Turma 1,72
Turma 1,75
Turma 1,57
Turma 1,73
Turma 1,78
Turma 1,88
Turma 1,70
Turma 1,67
Turma 1,70
Turma 1,83
Turma 1,77
Turma 1,70
Turma 1,79
Turma 1,75
Turma 1,83
Turma 1,68
Turma 1,72
Turma 1,71
Turma 1,61
Turma 1,77
Turma 1,77
Turma 1,75
Turma 1,72
Turma 2,72
Turma 2,77
Turma 2,78
Turma 2,75
Turma 2,79
Turma 2,82
Turma 2,89
Turma 2,80
Turma 2,81
Turma 2,79
Turma 2,70
Turma 2,79
Turma 2,80
Turma 2,92
Turma 2,79
Turma 2,81
Turma 2,79
Turma 2,74
Turma 2,85
Turma 2,83
Turma 2,83
Turma 2,75
Turma 2,87
Turma 2,72
Turma 2,82
Turma 2,90
Turma 2,75
Turma 2,77
Turma 2,80
Turma 2,77
Turma 2,72
Turma 2,80
Turma 2,74
Turma 2,82
Turma 2,75
Turma 2,87
Turma 2,76
Turma 2,78
Turma 2,84
Turma 2,73
Turma 2,81
Turma 2,86
Turma 2,71
Turma 2,80
Turma 2,81
Turma 2,83
Turma 2,73
Turma 2,73
Turma 2,82
Turma 2,81
Turma 2,81
Turma 2,81
Turma 2,76
Turma 2,81
Turma 2,81
Turma 2,76
Turma 2,89
Turma 2,82
Turma 2,74
Turma 2,83
Turma 2,75
Turma 2,83
Turma 2,85
Turma 2,75
Turma 2,84
Turma 2,82
Turma 2,84
Turma 2,89
Turma 2,78
Turma 2,76
Turma 2,75
Turma 2,75
Turma 2,79
Turma 2,81
Turma 2,81
Turma 2,84
Turma 2,80
Turma 2,87
Turma 2,78
Turma 2,93
Turma 2,83
Turma 2,75
Turma 2,74
Turma 2,82
Turma 2,78
Turma 2,83
Turma 2,82
Turma 2,79
Turma 2,75
Turma 2,72
Turma 2,77
Turma 2,84
Turma 2,81
Turma 2,73
Turma 2,80
Turma 2,81
Turma 2,75
Turma 2,80
Turma 2,80
Turma 2,74
Turma 3,72
Turma 3,73
Turma 3,76
Turma 3,76
Turma 3,61
Turma 3,64
Turma 3,73
Turma 3,73
Turma 3,73
Turma 3,93
Turma 3,73
Turma 3,76
Turma 3,75
Turma 3,73
Turma 3,68
Turma 3,74
Turma 3,65
Turma 3,68
Turma 3,67
Turma 3,70
Turma 3,83
Turma 3,58
Turma 3,74
Turma 3,60
Turma 3,67
Turma 3,76
Turma 3,70
Turma 3,63
Turma 3,65
Turma 3,74
Turma 3,65
Turma 3,71
Turma 3,70
Turma 3,66
Turma 3,82
Turma 3,73
Turma 3,57
Turma 3,71
Turma 3,66
Turma 3,75
Turma 3,65
Turma 3,69
Turma 3,73
Turma 3,75
Turma 3,62
Turma 3,67
Turma 3,67
Turma 3,66
Turma 3,80
Turma 3,72
Turma 3,62
Turma 3,75
Turma 3,82
Turma 3,76
Turma 3,60
Turma 3,67
Turma 3,77
Turma 3,65
Turma 3,72
Turma 3,74
Turma 3,64
Turma 3,69
Turma 3,50
Turma 3,63
Turma 3,68
Turma 3,62
Turma 3,79
Turma 3,61
Turma 3,67
Turma 3,70
Turma 3,78
Turma 3,61
Turma 3,76
Turma 3,70
Turma 3,64
Turma 3,72
Turma 3,71
Turma 3,66
Turma 3,70
Turma 3,67
Turma 3,70
Turma 3,73
Turma 3,79
Turma 3,62
Turma 3,82
Turma 3,58
Turma 3,69
Turma 3,73
Turma 3,71
Turma 3,66
Turma 3,68
Turma 3,67
Turma 3,66
Turma 3,75
Turma 3,72
Turma 3,65
Turma 3,75
Turma 3,71
Turma 3,74
Turma 3,73
